serogroup	1_92_S1counts	25_92_S25counts	49_92_S49counts	73_92_S73counts	2_94_S2counts	26_94_S26counts	50_94_S50counts	74_94_S74counts	3_96_S3counts	27_96_S27counts	51_96_S51counts	75_96_S75counts	4_97_S4counts	28_97_S28counts	52_97_S52counts	76_97_S76counts	5_98_S5counts	29_98_S29counts	53_98_S53counts	77_98_S77counts	6_99_S6counts	30_99_S30counts	54_99_S54counts	78_99_S78counts	7_100_S7counts	31_100_S31counts	55_100_S55counts	79_100_S79counts	8_111_S8counts	32_111_S32counts	56_111_S56counts	80_111_S80counts	9_112_S9counts	33_112_S33counts	57_112_S57counts	81_112_S81counts	10_116_S10counts	34_116_S34counts	58_116_S58counts	82_116_S82counts	11_117_S11counts	35_117_S35counts	59_117_S59counts	83_117_S83counts	12_118_S12counts	36_118_S36counts	60_118_S60counts	84_118_S84counts	13_119_S13counts	37_119_S37counts	61_119_S61counts	85_119_S85counts	14_120_S14counts	38_120_S38counts	62_120_S62counts	86_120_S86counts	15_131_S15counts	39_131_S39counts	63_131_S63counts	87_131_S87counts	16_132_S16counts	40_132_S40counts	64_132_S64counts	88_132_S88counts	17_133_S17counts	41_133_S41counts	65_133_S65counts	89_133_S89counts	18_134_S18counts	42_134_S42counts	66_134_S66counts	90_134_S90counts	19_135_S19counts	43_135_S43counts	67_135_S67counts	91_135_S91counts	20_136_S20counts	44_136_S44counts	68_136_S68counts	92_136_S92counts	21_137_S21counts	45_137_S45counts	69_137_S69counts	93_137_S93counts	22_138_S22counts	46_138_S46counts	70_138_S70counts	94_138_S94counts	23_139_S23counts	47_139_S47counts	71_139_S71counts	95_139_S95counts	24_ctrl_S24counts	48_ctrl_S48counts	72_ctrl_S72counts	96_ctrl_S96counts
id0027823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.112	0	0	0	0	0	0	0	0	0	0	0	0	0	0.111	0.054	0	0.017	0	0	0	0	0	0	0.028	0	0	0	0	0	0	0	0	0	0	0.04	0.035	0	0	0	0	0	0	0	0	0	0	0.138	0.087	0	0	0	0	0	0	0	0.032	0	0.073	0	0	0	0	0	0	0	0
id0027564	0	0	0	0	0	0	0	0	0	0	0	0	0.042	0.133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.037	0	0	0.053	0	0.038	0	0	0	0	0	0	0	0.094	0	0.054	0.283	0.19	0	0	0	0	0	0	0	0	0	0.17	0.288	0.066	0	0	0	0	0	0.439	0.354	0.192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.047	0	0	0	0	0	0.371	1.424	0	0	0	0	0	0
id0027145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.069	0.074	0	0.052	0	0	0	0	0.058	0	0.087	0.023	0	0	0	0	0	0	0.017	0	0	0.057	0	0	0.035	0.028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0.044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
id0027076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.035	0.112	0	0.104	0	0	0	0	0	0	0	0	0	0.038	0	0	0.054	0.081	0.017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.035	0.029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
id0026738	0	0	0	0	0	0	0	0	0.144	0.145	0.244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
id0026488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.128	0.064	0	0	0.097	0.142	0	0	0	0	0	0	0.03	0.051	0	0	0.072	0.116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
id0026101	0.044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.208	0.149	0.268	0.104	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0.055	0	0	0.043	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0.207	0.029	0.04	0.069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
id0025790	0	0	0	0.083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.035	0	0	0	0	0	0	0	0.097	0.258	0	0	0	0	0	0	0	0	0	0
id0025290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.389	0.159	0.049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
id0025240	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.178	1.042	1.852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0.454	0.232	0.503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
id0025033	0	0	0	0.083	0	0	0	0	0	0	0	0	0	0	0	0	0	0.032	0	0	0	0	0	0	0	0	0	0	0.173	0.149	0.089	0	0	0	0	0	0	0	0	0	0.096	0	0	0	0	0	0.035	0	0	0	0	0	0	0.055	0	0	0	0	0	0	0	0	0	0	0	0.035	0	0	0	0	0	0	0	0	0	0	0.069	0.029	0	0	0	0	0	0	0	0	0	0.073	0	0	0	0	0	0	0	0
id0024924	0	0	0	0	0	0	0	0	0	0	0	0	0	0.044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.386	1.9	1.173	0.414	0	0	0	0	0.384	0.579	0	0	0	0	0	0	30.189	32.278	33.676	34.841	0	0	0	0	0	0	0	0	0.036	0.029	0	0	0	0	0	0	0	0.137	0.093	0	0.292	0.323	0.039	0.146	0	0	0	0	0	0	0	0
id0024834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.312	0.149	0.089	0.104	0	0	0	0	0	0	0	0	0	0	0	0.222	0	0.081	0.052	0	0.05	0.057	0	0	0	0.055	0.041	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0.069	0.087	0.079	0	0	0.046	0.093	0	0	0	0	0.073	0	0	0	0	0	0	0	0
id0024826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.363	23.805	41.359	48.062	0	0	0	0	0	0	0	0	0	0	0	0	0	0.042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
id0024130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.035	0	0	0.052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.096	0.066	0	0	0	0	0.168	0	0.035	0	0	0	0	0	0	0	0.029	0	0	0	0	0	0.069	0	0.046	0.047	0	0.146	0.065	0	0	0	0	0	0	0	0	0	0
id0024026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.032	0	0	0	0	0	0	0	0.035	0	0	0	0	0	0	0.108	0.232	0.11	0	0.035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
id0023661	0	0	0	0	0.122	0	0	0	0	0	0	0	0.125	0.178	0	0	0	0	0	0	0	0.081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.096	0.188	0	0	0	0	0	0	0	0	0	0.251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.051	0	0	0	0	0	0	0	0.058	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
id0023541	0.044	0	0.048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.138	0.037	0	0.104	0	0.042	0	0	0	0	0	0	0	0	0	0	0.054	0	0	0	0	0	0	0	0	0.028	0	0	0	0	0	0	0	0	0	0	0	0.035	0	0	0	0	0	0	0	0	0	0	0.035	0.087	0.079	0.069	0.044	0	0.047	0	0	0	0	0	0	0	0	0	0	0	0	0
id0023392	0	0	0	0	0	0	0	0	0	0	0	0	0.042	0.089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.037	0	0	0.053	0.042	0	0	0	0	0	0	0	0	0	0	0	0.081	0	0	0	0	0	0	0	0.028	0	0	0	0.032	0	0	0	0	0	0	0.199	0.389	0.192	0.162	0	0	0	0	0	0	0	0	0	0	0	0	0	0.137	0.093	0	0	0	0	0	0.743	1.017	0	0	0	0	0	0
id0023228	0.044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.069	0	0	0	0	0	0	0.052	0.029	0.071	0.116	0.023	0	0	0	0	0	0	0.017	0	0	0	0.058	0	0	0	0	0	0	0	0	0.446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.044	0.092	0	0	0	0	0	0	0	0	0	0	0	0	0	0
id0023159	0	0.347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.108	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.032	0	0	0	0	0	0	0	0	0	0
id0022970	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.058	0	0.029	0.07	0	0	0	0	0.054	0	0.017	0	0	0.057	0.058	0	0	0.028	0	0	0.043	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.088	0	0	0.241	0	0.032	0	0	0	0	0	0	0	0	0	0
id0022891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.043	0.064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.044	0	0	0	0.049	0.258	0	0	0	0	0	0	0	0	0	0
id0022747	0	0	0	0	0	0.029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0.057	0.116	0	0	0	0.286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.305	0.3	0	0	0	0	0
id0022532	0	0	0	0.083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.035	0	0.089	0.104	0.053	0	0	0	0.058	0.024	0.203	0.047	0	0	0	0	0.108	0.04	0.017	0.207	0	0	0	0	0	0	0	0	0	0.032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.047	0	0	0	0	0	0	0	0	0	0	0	0	0
id0022421	0	0.032	0	0.083	0	0	0	0	0	0	0	0	0	0.089	0	0	0	0.032	0	0	0	0	0	0	0.186	0.161	0	0	0.035	0	0	0.052	0.053	0	0	0	0.029	0.048	0.116	0.14	0	0.113	0.094	0	0.108	0.08	0.035	0	0	0	0.058	0	0.035	0.083	0.041	0	0.17	0.064	0	0	0	0	0	0	0	0	0	0	0.06	0.304	0	0.084	0	0	0	0	0	0.029	0	0	0.088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
id0021026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.045	0	0	0	0	0	0.029	0	0.058	0	0	0	0	0	0	0	0	0.31	0	0	0	0	0	0	0	0	0.043	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
id0020793	0	0	0	0	0	0	0	0	0	0	0	0	0	0.044	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0.035	0	0	0	0	0	0	0	0	0	0	0	0	0.113	0	0	0.054	0.04	0.017	0	0	0	0	0	0	0.028	0	0	0	0	0	0	0	0.047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.058	0	0	0.132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
id0020544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.104	0.186	0	0.104	0	0	0	0	0	0	0	0	0	0	0	0	0.054	0.081	0.035	0	0	0	0	0	0	0.028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.088	0.046	0.047	0	0	0	0	0	0	0	0	0	0	0	0	0
id0020436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.163	0.323	0.121	0	0	0	0	0	0	0	0	0	0	0	0	0	0.048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
id0020381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0.032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.116	0	0	0.069	0	0	0	0.044	0	0.093	0	0	0	0	0	0	0	0	0	0	0	0	0
id0020296	0	0	0	0	0	0.088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0.17	0.058	0	0	0	0.204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.248	0.203	0	0	0	0	0	0
id0020252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.434	0.364	0.707	0.414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
id0020204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.048	0.038	0	0	0.054	0.081	0.017	0	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.035	0	0	0.069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
id0019519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.035	0.149	0	0.052	0	0.042	0	0	0	0	0	0	1.201	0.565	0.282	0.555	0	0	0	0	0	0	0	0	0	0	0	0	0	0.032	0	0	0	0	0	0	0	0	0	0	0.09	0.304	0	0	0.036	0.029	0	0	0.069	0	0	0.069	0	0	0	0	0	0	0	0	0.124	0	0	0	0	0	0	0
id0019162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0.035	0.128	0	0	0	0	0	0	0	0	0	0	0.029	0	0	0	0	0	0	0.049	0.032	0.039	0.292	0	0	0	0	0	0	0	0
id0018949	0	0	0	0	0	0	0	0	0	0	0.041	0	0.042	0.089	0	0	0	0	0	0	0	0	0	0	0.047	0	0	0	0.035	0	0	0	0.473	0.042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.105	0.193	0	0	0	0	0	0	0	0	0	0	0	0.035	0	0	0	0	0	0	0	0.029	0	0	0.069	0.087	0.04	0	0.044	0.046	0	0.241	0.049	0.032	0	0	0	0	0	0	0	0	0	0
id0018914	0.175	0.316	0.048	0	0	0	0	0	0	0	0	0	0	0.044	0	0	0.039	0	0	0	0	0	0	0	0	0	0	0	0.104	0.074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.216	0.08	0	0	0	0.057	0	0	0	0	0	0	0.043	0.064	0	0	0.048	0.047	0	0	0	0.035	0	0	0	0	0	0	0	0	0	0	0.035	0.058	0	0	0.176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
id0018600	0	0	0.048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.035	0	0.089	0	0	0	0.038	0	0	0	0	0	0	0	0	0	0	0	0.035	0	0	0	0	0	0	0.028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.035	0.029	0	0.069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
id0018485	0	0	0.048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.035	0.112	0.045	0.052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.017	0	0	0	0	0	0	0	0	0	0	0.032	0	0	0	0	0	0	0	0	0	0.162	0	0	0	0	0	0	0	0	0.035	0	0	0.069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
id0018384	0	0	0	0.083	0	0	0	0	0	0	0	0	0	0	0	0	0	0.064	0.049	0	0	0	0	0	0	0	0	0	0.208	0.149	0.223	0.157	0	0	0	0	0	0.024	0	0	0.096	0.038	0.094	0.111	0.054	0.04	0.052	0	0	0	0	0	0	0.028	0.041	0	0	0	0	0	0	0	0.057	0	0.08	0.035	0.064	0	0	0	0	0	0	0	0	0	0.035	0	0	0	0.132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
id0018161	0	0	0	0	0.081	0.117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
id0017589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14	0.242	0	0	0.035	0.112	0	0	0	0	0	0	0	0.024	0	0	0.096	0.113	0	0	0	0.121	0.017	0.103	0	0	0	0	0	0	0	0	0.171	0.192	0	0	0	0	0	0	0	0	0	0	0.21	0.405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
id0017556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.104	0.111	0.089	0.209	0.105	0.042	0	0	0	0	0	0	0.24	0.188	0	0	0	0.081	0.017	0	0	0	0	0	0.28	0.331	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0.029	0.04	0.069	0.221	0	0.047	0	0	0	0	0	0	0	0	0	0	0	0	0
id0016970	0	0	0.048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.047	0	0	0	0	0	0.045	0	0	0	0	0	0	0.024	0.058	0.023	0	0	0	0	0	0.04	0.052	0.207	0	0	0	0	0	0	0	0	0.043	0.032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.092	0	0	0	0	0	0	0	0	0	0	0	0	0	0
id0016925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.071	0	0	0	0	0	0	0	0.029	0	0.41	0	0	0	0	0	0	0	0	0.097	0.032	0.118	0.073	0	0	0	0	0	0	0	0
id0016832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.064	0	0	0	0	0	0.036	0.029	0	0	0	0.029	0	0	0	0	0	0	0	0.097	0.118	0	0	0	0	0	0	0	0	0
id0016184	0	0	0	0	0	0	0	0	0.029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.074	0	0.157	0	0	0	0	0	0	0	0	0.048	0	0	0	0	0.04	0.017	0	0	0	0	0	0	0	0	0	0	0	0.066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
id0015632	0.132	0.569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.108	0.081	0	0	0	0	0	0	0	0	0	0	0	0.032	0	0	0.048	0.047	0	0	0.04	0	0	0	0	0	0	0	0.036	0	0	0	0.035	0.029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
id0015475	0	0	0	0	2.684	4.181	1.035	0.386	0.029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.069	0.186	0	0.052	0	0.21	0.038	0	0	0	0	0	0	0	0	0	0.217	0.404	0.155	0.207	0	0	0	0	1.188	1.352	0.163	0	1.361	1.186	0.263	0	0.048	0	0	0	0	0.035	0	0	0	0	0	0	0	0.029	0	0	0	0	0	0	0.265	0.366	0.326	0.241	0	0	0	0	0	0	0	0	0	0	0	0
id0015464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.035	0.074	0.045	0.052	0.053	0	0	0	0.029	0.071	0.058	0.141	0	0.075	0	0	0	0	0	0	0	0	0	0	0.035	0.193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.069	0.044	0.046	0	0	0	0	0	0	0	0	0	0	0	0	0	0
id0015317	0	0.032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.053	0	0	0	0	0	0	0	0	0	0	0	0	0.081	0.069	0	0	0	0	0	0.035	0.028	0	0	0	0.192	0.066	0	0	0	0	0	0	0	0	0	0	0	0	0	0.145	0.116	0	0	0	0	0	0	0.177	0.137	0.187	0	0.097	0	0	0	0	0	0	0	0	0	0	0
id0014691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.138	0.037	0	0	0	0	0	0	0	0	0	0	0.048	0.264	0	0	0.054	0	0.017	0	0	0	0	0	0	0.028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.029	0	0	0	0	0	0	0	0.032	0	0	0	0	0	0	0	0	0	0
id0014628	0	0	0	0	0	0	0	0	0	0.029	0	0	0	0	0	0	0	0	0	0	0	0	0.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.029	0.094	0	0	0	0	0.108	0	0	0	0	0	0	0	0	0.028	0.041	0	0.043	0.032	0	0	0	0	0	0	0	0	0.064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.049	0	0	0	0	0	0	0	0	0	0	0
id0014427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.039	0.032	0	0	0	0	0	0	0.233	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.054	0	0	0	0	0	0	0	0.035	0.028	0	0	0.085	0.064	0	0	0	0	0	0	0	0	0	0	0.06	0.304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
id0013736	0	0	0	0	0	0.058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.333	0.162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.002	0	0.116	0	0	0.028	0.245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.743	0	0.15	0.476	0	0	0	0
id0013208	0	0	0	0	0	0	0	0	0.115	0.203	0.122	0.382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
id0012797	0	0	0.048	0	0	0	0	0	0.173	0.203	0.081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
id0012371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.069	0.037	0	0	0	0	0	0	0.058	0	0.145	0.023	0	0	0	0	0.054	0	0.017	0	0	0	0	0	0	0	0	0	0.043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
